name,genre,gender,team_type,appearance_fee,billions_club_status,2billions_club_status,5billions_club_status,10billions_club_status,company_name,insta_followers,award_history,youtube_subscriber_count,youtube_views,recent_mv_upload_count,recent_mv_avg_view,grade
브레이브걸스,"댄스, 발라드, 랩/힙합",여,그룹,17000000,0,0,0,0,브레이브 엔터테인먼트,174000,10,179000,179755145,0,58416,2
장윤정,"성인가요/트로트, 댄스, 발라드",여,솔로,25000000,0,0,0,0,티엔엔터테인먼트,94000,37,667000,199090057,0,69641,3
ITZY,"댄스, 랩/힙합, R&B/Soul",여,그룹,1000000000,0,0,0,0,(주)JYP엔터테인먼트,19660000,33,9600000,3469487952,14,452780,8
나연,"댄스, 발라드, R&B/Soul",여,솔로,500000000,0,0,0,0,(주)JYP엔터테인먼트,12460000,2,0,0,0,0,7
효린,"발라드, 댄스, 국내드라마",여,솔로,30000000,0,0,0,0,브리지,4880000,0,1050000,466257109,2,1621555,3
송가인,"성인가요/트로트, 발라드, 국내드라마",여,솔로,35000000,0,0,0,0,(주)제이지 스타,212000,11,91300,36587317,3,566890,4
한동근,"성인가요/트로트, 발라드",남,솔로,2500000,0,0,0,0,레드헤더컴퍼니,35000,2,77900,269145924,0,9237,1
정동원,"성인가요/트로트, 발라드, 국내드라마",남,솔로,35000000,1,0,0,0,쇼플레이엔터테인먼트,110000,6,727000,405002794,1,795601,4
정동원,"성인가요/트로트, 발라드, 국내드라마",남,솔로,35000000,1,1,0,0,티엔엔터테인먼트,216000,20,407000,520159015,0,3326139,4
빅마마,"R&B/Soul, 발라드, 댄스",여,그룹,2500000,0,0,0,0,카카오엔터테인먼트,3310,9,0,0,0,0,1
나얼,"R&B/Soul, 발라드, CCM",남,솔로,25000000,0,0,0,0,인넥스트트렌드,93000,6,120000,58311753,0,66773,3
김태연,"성인가요/트로트, 국악, 인기가요",여,솔로,25000000,0,0,0,0,K타이거즈 엔터테인먼트,53000,2,0,0,0,0,3
오마이걸,"댄스, 발라드, POP",여,그룹,70000000,1,0,0,0,WM ENTERTAINMENT,1220000,16,1060000,497403965,4,3375928,4
박혜신,"성인가요/트로트, 발라드",여,솔로,7000000,0,0,0,0,시디미디어,15000,7,0,0,0,0,1
백예린,"R&B/Soul, 발라드, 댄스",여,솔로,72500000,1,0,0,0,피플라이크피플 주식회사,967000,6,454000,815699968,0,932820,5
선우정아,"발라드, R&B/Soul, 국내드라마",여,솔로,25000000,0,0,0,0,씨에이엠위더스 주식회사,91000,3,155000,110530689,6,124288,3
조째즈,"발라드, 성인가요/트로트",남,솔로,1500000,0,0,0,0,브라더후드엔터테인먼트,22000,0,116000,63904047,2,104967,1
황가람,"발라드, 국내드라마, 애니메이션/웹툰",남,솔로,1500000,0,0,0,0,JMG(더블엑스엔터테인먼트),53000,1,138000,116209124,0,1841,1
순순희,"발라드, 인디음악, 국내드라마",남,그룹,7500000,0,0,0,0,BS엔터테인먼트,1444,0,63700,106708114,5,329058,1
숀,"일렉트로니카, 인디음악, 록/메탈",남,솔로,25000000,0,0,0,0,하우뮤직프로적션,237000,1,621000,471912904,3,496067,3
선미,"댄스, 발라드, 국내드라마",여,솔로,90000000,0,0,0,0,ABYSS COMPANY,7460000,9,1500000,712887973,0,2009032,6
우원재,"랩/힙합, 국내드라마, R&B/Soul",남,솔로,20000000,0,0,0,0,에이오엠지,680000,3,51900,128320623,0,127013,2
쿠기(김정훈),"랩/힙합, 국내드라마, 인디음악",남,솔로,20000000,0,0,0,0,에이오엠지,404000,1,0,0,0,0,2
식케이,"랩/힙합, R&B/Soul, 댄스",남,솔로,72500000,0,0,0,0,KC,607000,2,86800,178862301,0,1355084,5
김하온,"랩/힙합, 국내드라마, 발라드",남,솔로,72500000,0,0,0,0,KC,485000,4,0,0,0,0,5
애쉬아일랜드,"랩/힙합, R&B/Soul, 록/메탈",남,솔로,72500000,0,0,0,0,MiDNiGHT Records,692000,4,227000,446569697,3,1570502,5
블랙스완,"댄스, POP",여,그룹,2500000,0,0,0,0,DR뮤직,457000,1,901000,103828449,9,174869,1
로꼬,"랩/힙합, 국내드라마, 댄스",남,솔로,3300000,1,0,0,0,로꼬모티브,1930000,2,156000,379879072,17,92472,1
그레이,"랩/힙합, 국내영화, R&B/Soul",남,솔로,33000000,0,0,0,0,에이오엠지,2860000,0,0,0,0,0,4
유겸,"R&B/Soul, 댄스, 랩/힙합",남,솔로,35000000,0,0,0,0,에이오엠지,12230000,0,159000,20889380,4,157432,4
박준원(pH-1),"랩/힙합, 국내드라마, 댄스",남,솔로,25000000,0,0,0,0,하이어뮤직,105,0,116000,296092400,0,1096431,3
릴러말즈,"랩/힙합, R&B/Soul, 클래식",남,솔로,15000000,0,0,0,0,앰비션뮤직,387000,0,55800,643162263,0,35601,2
산다라박,"국내영화, POP, 댄스",여,솔로,150000000,0,0,0,0,ABYSS COMPANY,10310000,1,0,0,0,0,6
쌈디,"랩/힙합, 발라드, 국내드라마",남,솔로,72500000,0,0,0,0,에이오엠지,1620000,1,0,0,0,0,5
뱀뱀,"R&B/Soul, 댄스, 랩/힙합",남,솔로,50000000,0,0,0,0,HALO Corporation,18390000,4,1790000,359291174,0,3308606,4
틴탑,"댄스, 발라드, 룩/메탈",남,그룹,33500000,0,0,0,0,티오피미디어,111000,2,701000,275926634,0,170399,4
빅나티,"랩/힙합, R&B/Soul, 국내드라마",남,솔로,25000000,0,0,0,0,하이어뮤직,858000,4,0,0,0,0,3
트리플에스,"댄스, R&B/Soul, 국내드라마",여,그룹,33500000,0,0,0,0,모드하우스,863000,9,2870000,625120043,23,1211084,4
다나카,"록/메탈, 발라드, 댄스",남,솔로,33500000,0,0,0,0,니몰라패밀리,176000,1,769000,389349783,0,1004847,4
이은지,댄스,여,솔로,72500000,0,0,0,0,큐브엔터테인먼트,400000,4,311000,39553123,0,379021,5
하하,"랩/힙합, 댄스, 발라드",남,솔로,72500000,0,0,0,0,QUAN Entertainment,3740000,16,1000000,138585675,2,318801,5
조세호,"댄스, 랩/힙합, 록/메탈",남,솔로,72500000,0,0,0,0,A2Z엔터테인먼트,897000,9,121000,10967706,1,21719,5
랄랄,"일렉트로니카, 댄스, 발라드",여,솔로,72500000,0,0,0,0,무소속,1096000,1,1880000,1291029922,2,1525012,5
Huh(허성현),"랩/힙합, 인디음악, R&B/Soul",남,솔로,25000000,0,0,0,0,아메바컬쳐,111000,0,34300,65761404,1,3520,3
릴체리,"랩/힙합, 인디음악, 일렉트로니카",여,솔로,25000000,0,0,0,0,SAUCE CARTEL,154000,2,8170,388680,0,3649,3
